DrugName,dosage,Form,lat,lon,signupId
Amoxicillin,500,Cap,13.6640309,79.500068,1
Amoxicillin,250,Cap,13.6640309,79.500068,1
Amoxicillin,125/5,Susp.,13.6640309,79.500068,1
Ampicloxicillin,500,Cap,13.6640309,79.500068,1
Ampiclox Neonatal,90,,13.6640309,79.500068,1
Antibiotic Ointment,,,13.6640309,79.500068,1
ASA(Aspirin),,,13.6640309,79.500068,1
Ascorbic Acid/Vitamin C,200,,13.6640309,79.500068,1
Atenolol,50,,13.6640309,79.500068,1
Betamethazone Ointment,0.001,,13.6640309,79.500068,1
Boric Acid,,,13.6640309,79.500068,1
Cetrizine,10,,13.6640309,79.500068,1
Chloramphenicol,150,,13.6640309,79.500068,1
Chloramphenicol,0.005,,13.6640309,79.500068,1
Chlorphenarimine (Piriton),4mg,,13.6640309,79.500068,1
Chlorphenarimine (Piriton),Syrup,5L jugs,13.6640309,79.500068,1
Cipro,500,,13.6640309,79.500068,1
Clotrimazole,30g,,13.6640309,79.500068,1
Clotrimazole,0.01,Cream,13.6640309,79.500068,1
Clotrimazole,200mg,Pessaries,13.6640309,79.500068,1
Cloxacillin,250,,13.6640309,79.500068,1
Crepe Bandage,Large,,13.6640309,79.500068,1
Crepe Bandage,Small,,13.6640309,79.500068,1
Diazepam,5mg,,13.6640309,79.500068,1
Diclofenac,50mg,,13.6640309,79.500068,1
Doxyccline,100,,13.6640309,79.500068,1
Ducolox (Bisacodyl),5,,13.6640309,79.500068,1
Enalapril,5,,13.6640309,79.500068,1
Enhancin,625,,13.6640309,79.500068,1
Erythromycin,250,,13.6640309,79.500068,1
Erythromycin,200/5,Susp.,13.6640309,79.500068,1
Fansidar (Methomine S),25/500,,13.6640309,79.500068,1
Flagyl/Metronidazole,400,,13.6640309,79.500068,1
Flagyl/Metronidazole,200,,13.6640309,79.500068,1
Flagyl/Metronidazole,200/5,Susp.,13.6640309,79.500068,1
FeSO4 (Ferrous Sulfate),200,,13.6640309,79.500068,1
Fe/Folate (Folic Acid),5,,13.6640309,79.500068,1
Gentamycin,0.003,Eye Drops,13.6640309,79.500068,1
Griseofulvin,250,,13.6640309,79.500068,1
HCTZ,50,,13.6640309,79.500068,1
Hydrocortisone,100,,13.6640309,79.500068,1
Hyoscine,,,13.6640309,79.500068,1
Ibuprofen,400,,13.6640309,79.500068,1
Ibuprofen,200,,13.6640309,79.500068,1
Ibuprofen,100/5,Susp.,13.6640309,79.500068,1
FeSO4 (Ferrous Sulfate),Syrup,5L jugs,13.6640309,79.500068,1
Cephalexin (Keflex),125/5,,13.6640309,79.500068,1
Mebendazole,100,,13.6640309,79.500068,1
(Magnesium)Antacid Tablets,,,13.6640309,79.500068,1
Antacid Liquids,,,13.6640309,79.500068,1
Multivitamin,,Tab,13.6640309,79.500068,1
Multivitamin Syrup,,5L jugs,13.6640309,79.500068,1
Nitrofurantoin,100,,13.6640309,79.500068,1
Nystatin,30ml,,13.6640309,79.500068,1
Omeprazole,20mg,,13.6640309,79.500068,1
Paracetamol,500,,13.6640309,79.500068,1
Paracetamol,100,,13.6640309,79.500068,1
Paracetamol,120/5,5L jugs,13.6640309,79.500068,1
Parafin,Liquid,5L jugs,13.6640309,79.500068,1
Phenobarbital,30,,13.6640309,79.500068,1
Prednisone,5,,13.6640309,79.500068,1
Prednisolone,5ml,,13.6640309,79.500068,1
Promethazine,25,,13.6640309,79.500068,1
Promethazine,,5L jugs,13.6640309,79.500068,1
Quinine,300,,13.6640309,79.500068,1
Quinine,20%/15ml,Drops,13.6640309,79.500068,1
Ranitidine,150mg,,13.6640309,79.500068,1
Rubem,0.05,Cream,13.6640309,79.500068,1
Secnidazole,500,,13.6640309,79.500068,1
Septra (Co-Trimoxazole),900/60,,13.6640309,79.500068,1
Septra (Co-Trimoxazole),400/80,,13.6640309,79.500068,1
Septra (Co-Trimoxazole),200/40,,13.6640309,79.500068,1
Septra (Co-Trimoxazole),100-20/5,Susp.,13.6640309,79.500068,1
Tetracycline Opth. Oint.,0.001,,13.6640309,79.500068,1
Throatasil,,,13.6640309,79.500068,1
Tinidazole,500,,13.6640309,79.500068,1
Salbutamol,2mg/5,,13.6640309,79.500068,1
Salbutamol,4mg,,13.6640309,79.500068,1
Vit. B Complex,,,13.6640309,79.500068,1
ACT (Under 6) Falcimon,,,13.6640309,79.500068,1
ACT (Adults),,,13.6640309,79.500068,1
ACT (Children 7-13) IDA,,,13.6640309,79.500068,1
Aminophylline,100mg,,13.6640309,79.500068,1
Amitryptyline,25mg,,13.6640309,79.500068,1
Atropine,.6mg/vial,,13.6640309,79.500068,1
Beclomethasone 100micgram,100/puff,,13.6640309,79.500068,1
Beclomethazone 80mcg,100/puff,,13.6640309,79.500068,1
Beclomethasone 40mcg,100/puff,,13.6640309,79.500068,1
Benzhexol,5mg,,13.6640309,79.500068,1
Menzylpenicillin,5miu,,13.6640309,79.500068,1
Carbamazepine(Tegeretol),200,,13.6640309,79.500068,1
Ceftriaxone,500,,13.6640309,79.500068,1
Ceftriaxone,15/vial,,13.6640309,79.500068,1
